ComplexId,ProteinId,Stoichiometry,Evidence
CPX-1213,Q6STE5,0,ECO:0005547
CPX-1213,Q8NFD5,0,ECO:0005547
CPX-1213,Q8TAQ2,0,ECO:0005547
CPX-1213,Q8WUB8,0,ECO:0005547
CPX-1213,Q92922,0,ECO:0005547
CPX-1213,Q969G3,0,ECO:0005547
CPX-1213,Q96GM5,0,ECO:0005547
CPX-1215,O96019,0,ECO:0005547
CPX-1215,P51532,0,ECO:0005547
CPX-1215,P60709,0,ECO:0005547
CPX-1215,Q12824,0,ECO:0005547
CPX-1215,Q6STE5,0,ECO:0005547
CPX-1215,Q8NFD5,0,ECO:0005547
CPX-1215,Q8TAQ2,0,ECO:0005547
CPX-1215,Q8WUB8,0,ECO:0005547
CPX-1215,Q92922,0,ECO:0005547
CPX-1215,Q969G3,0,ECO:0005547
CPX-1215,Q96GM5,0,ECO:0005547
CPX-1216,O14497,0,ECO:0005547
CPX-1216,O94805,0,ECO:0005547
CPX-1216,P51532,0,ECO:0005547
CPX-1216,P60709,0,ECO:0005547
CPX-1216,Q12824,0,ECO:0005547
CPX-1216,Q6STE5,0,ECO:0005547
CPX-1216,Q8TAQ2,0,ECO:0005547
CPX-1216,Q92782,0,ECO:0005547
CPX-1216,Q92784,0,ECO:0005547
CPX-1216,Q92922,0,ECO:0005547
CPX-1216,Q969G3,0,ECO:0005547
CPX-1216,Q96GM5,0,ECO:0005547
CPX-1217,O94805,0,ECO:0005547
CPX-1217,P51531,0,ECO:0005547
CPX-1217,P60709,0,ECO:0005547
CPX-1217,Q12824,0,ECO:0005547
CPX-1217,Q6STE5,0,ECO:0005547
CPX-1217,Q8NFD5,0,ECO:0005547
CPX-1217,Q8TAQ2,0,ECO:0005547
CPX-1217,Q92782,0,ECO:0005547
CPX-1217,Q92784,0,ECO:0005547
CPX-1217,Q92922,0,ECO:0005547
CPX-1217,Q969G3,0,ECO:0005547
CPX-1217,Q96GM5,0,ECO:0005547
CPX-1218,O94805,0,ECO:0005547
CPX-1218,P51532,0,ECO:0005547
CPX-1218,P60709,0,ECO:0005547
CPX-1218,Q12824,0,ECO:0005547
CPX-1218,Q6STE5,0,ECO:0005547
CPX-1218,Q8NFD5,0,ECO:0005547
CPX-1218,Q8TAQ2,0,ECO:0005547
CPX-1218,Q92782,0,ECO:0005547
CPX-1218,Q92784,0,ECO:0005547
CPX-1218,Q92922,0,ECO:0005547
CPX-1218,Q969G3,0,ECO:0005547
CPX-1218,Q96GM5,0,ECO:0005547
CPX-1219,O14497,0,ECO:0005547
CPX-1219,O94805,0,ECO:0005547
CPX-1219,P51532,0,ECO:0005547
CPX-1219,P60709,0,ECO:0005547
CPX-1219,Q12824,0,ECO:0005547
CPX-1219,Q8TAQ2,0,ECO:0005547
CPX-1219,Q92925,0,ECO:0005547
CPX-1219,Q969G3,0,ECO:0005547
CPX-122,P21333,2,ECO:0000353
CPX-1220,O94805,0,ECO:0005547
CPX-1220,P51531,0,ECO:0005547
CPX-1220,P60709,0,ECO:0005547
CPX-1220,Q12824,0,ECO:0005547
CPX-1220,Q8NFD5,0,ECO:0005547
CPX-1220,Q8TAQ2,0,ECO:0005547
CPX-1220,Q92925,0,ECO:0005547
CPX-1220,Q969G3,0,ECO:0005547
CPX-1221,O94805,0,ECO:0005547
CPX-1221,P51532,0,ECO:0005547
CPX-1221,P60709,0,ECO:0005547
CPX-1221,Q12824,0,ECO:0005547
CPX-1221,Q8NFD5,0,ECO:0005547
CPX-1221,Q8TAQ2,0,ECO:0005547
CPX-1221,Q92925,0,ECO:0005547
CPX-1221,Q969G3,0,ECO:0005547
CPX-1222,O14497,0,ECO:0005547
CPX-1222,O96019,0,ECO:0005547
CPX-1222,P51532,0,ECO:0005547
CPX-1222,P60709,0,ECO:0005547
CPX-1222,Q12824,0,ECO:0005547
CPX-1222,Q6STE5,0,ECO:0005547
CPX-1222,Q8TAQ2,0,ECO:0005547
CPX-1222,Q92784,0,ECO:0005547
CPX-1222,Q92922,0,ECO:0005547
CPX-1222,Q92925,0,ECO:0005547
